week,start date
40,20191005
41,20191012
42,20191019
43,20191026
44,20191102
45,20191109
46,20191116
47,20191123
48,20191130
49,20191207
50,20191214
51,20191221
52,20191228
1,20200104
2,20200111
3,20200118
4,20200125
5,20200201
6,20200208
7,20200215
8,20200222
9,20200229
10,20200307
11,20200314
12,20200321
13,20200328
14,20200404
15,20200411
16,20200418
17,20200425
18,20200502
19,20200509
20,20200516
21,20200523
22,20200530
23,20200606
24,20200613
25,20200620
26,20200627
27,20200704
28,20200711
29,20200718
30,20200725
31,20200801
32,20200808
33,20200815
34,20200822
35,20200829
36,20200905
37,20200912
38,20200919
39,20200926